Designed by,Developer,First appeared,Platform,OS,Website,Language
Dr. Martin C. Carlisle &  Lt Col Ricky Sward &  Maj Jeff Humphries,AdaCore,2004; 17 years ago (2004),Common Language Infrastructure,Cross-platform,www.asharp.martincarlisle.com,A.NET (A#/A sharp)
,,,,,,A-0 System
Arthur Whitney,Morgan Stanley,1988; 33 years ago (1988),,,www.aplusdev.org,A+ (A plus)
SAP SE,,1983; 38 years ago (1983),,Cross-platform,scn.sap.com/community/abap%20scn.sap.com/community/abap,ABAP
Leo Geurts &  Lambert Meertens &  Steven Pemberton,Centrum Wiskunde & Informatica (CWI),January 1987; 34 years ago (1987-01),,Unix-like &  Windows &  MacOS &  and Atari TOS,homepages.cwi.nl/~steven/abc/,ABC
,,,,,,ABC ALGOL
,,,,,,ACC
,,,,,www.ibm.com/software/products/en/ratisyne,Accent (Rational Synergy)
,,,,,,Ace DASL (Distributed Application Specification Language)
,,,Atari 8-bit family,,,Action!
Gary Grossman,Macromedia (now dissolved into Adobe Systems),1998,,,adobe.com/devnet/actionscript/,ActionScript
,,,,,,Actor
"MIL-STD-1815 &  Ada 83: Jean Ichbiah
Ada 95: Tucker Taft
Ada 2005: Tucker Taft
Ada 2012: Tucker Taft",,February 1980; 41 years ago (1980-02),,Multi- or cross-platform,www.adaic.org,Ada
,,,,,,Adenine (Haystack)
TOTVS[1],,,,,,AdvPL
Ulf Norell; Catarina Coquand (1.0),Ulf Norell; Catarina Coquand (1.0),2007; 14 years ago (2007) (1.0 in 1999; 22 years ago (1999)),,Cross-platform,wiki.portal.chalmers.se/agda,Agda
,,,,,https://www.keysight.com/us/en/product/W4000D/vee-pro-9-33.html,Agilent VEE (Keysight VEE)
,,,,,,Agora
Johannes J. Bisschop  Marcel Roelofs,AIMMS B.V. (formerly named Paragon Decision Technology B.V.[1]),,,,AIMMS home page,AIMMS
Richard Dimick Jenks &  Barry Trager &  Stephen Watt &  James Davenport &  Robert Sutor &  Scott Morrison,Thomas J. Watson Research Center,1990; 31 years ago (1990),Axiom computer algebra system,Linux &  Solaris &  Windows,www.aldor.org,Aldor
Phil Winterbottom,,1992,,Plan 9 from Bell Labs,,Alef
,,,,,Getting and installing ALF,ALF
Friedrich L. Bauer &  Hermann Bottenbruch &  Heinz Rutishauser &  Klaus Samelson &  John Backus &  Charles Katz &  Alan Perlis &  Joseph Henry Wegstein,,1958; 63 years ago (1958),,,,ALGOL 58
Backus &  Bauer &  Green &  Katz &  McCarthy &  Naur &  Perlis &  Rutishauser &  Samelson &  van Wijngaarden &  Vauquois &  Wegstein &  Woodger,,1960; 61 years ago (1960),,,,ALGOL 60
A. van Wijngaarden &  B. J. Mailloux &  J. E. L. Peck and C. H. A. Koster &  et al.,,Final Report: 1968; 53 years ago (1968)r0,,,,ALGOL 68
Niklaus Wirth &  Tony Hoare,,1966; 55 years ago (1966),IBM System/360,Linux,,ALGOL W
Saarland University,,2000; 21 years ago (2000),,Cross-platform,www.ps.uni-saarland.de/alice[1],Alice (Alice ML)
Krzysztof Apt &  Marc Bezem &  Jacob Brunekree &  Vincent Partington &  Andrea Schaerf,Centrum Wiskunde & Informatica,1997; 24 years ago (1997),,,www.cwi.nl/en/alma,Alma-0
Tom Van Cutsem &  Stijn Mostinckx &  Jessie Dedecker &  Wolfgang De Meuter,Software Languages Lab &  University of Brussels,2006,,Platform-independent,http://soft.vub.ac.be/amop,AmbientTalk
,,,,,,Amiga E
,François Lionet and Constantin Sotiropoulos,1990; 31 years ago (1990),,AmigaOS,AMOS and STOS,AMOS (AMOS BASIC)
Robert FourerDavid GayBrian KernighanBell Labs,AMPL Optimization &  Inc.,1985; 36 years ago (1985),,Cross-platform: Linux &  macOS &  Solaris &  AIX &  Windows,www.ampl.com,AMPL
Victor Glushkov & Co,Poltava National Technical University,January 1 &  1968; 53 years ago (1968-01-01)[1],,,About Analitik,Analitik
,Andreas Jönsson,2003,,Cross-platform,angelcode.com/angelscript,AngelScript
,,,,,pig.apache.org,Apache Pig latin
,,,,,,"Apex (Salesforce.com, Inc)"
Kenneth E. Iverson,Larry Breed &  Dick Lathwell &  Roger Moore and others,November 27 &  1966; 54 years ago (1966-11-27)[1],Cross platform,,,APL
,,,,,appinventor.mit.edu,App Inventor for Android's visual block language (MIT App Inventor)
,Apple Inc.,1993; 28 years ago (1993),,System 7 &  Mac OS 8 &  Mac OS 9 &  macOS,https://developer.apple.com/applescript,AppleScript
,,,,,,APT
Paul Graham,,29 January 2008; 13 years ago (2008-01-29),IA-32 &  x86-64,Linux,arclanguage.org,Arc
,,,,,,ARexx
,,,,,,Argus
,,1949; 72 years ago (1949),,,,Assembly language (ASM)
Jonathan Bennett,AutoIt Consulting Ltd.,January 1999; 22 years ago (1999-01),IA-32 and x64,Windows XP SP3 and laterWindows Server 2003 and later,www.autoitscript.com,AutoIt
David Betz,,January 1986; 35 years ago (1986-01),IA-32,Linux,,AutoLISP / Visual LISP
,,,,,,Averest
Alfred Aho &  Peter Weinberger &  and Brian Kernighan,,1977; 44 years ago (1977),,Cross-platform,,AWK
,Microsoft,May 8 &  2009,x86 &  x86-64 and Itanium,Windows XPWindows Server 2003Windows VistaWindows Server 2008Windows 7,Axum at DevLabs,Axum
Ken Thompson,Ken Thompson &  Dennis Ritchie,1969; 52 years ago (1969)[1],,,,B
,,around 1971; 50 years ago (1971),,COS &  GEC DOS &  OS4000,,Babbage
